Symbol,Price~,Type,Strike,"Exp Date",DTE,Bid,Mid,Ask,Last,Volume,"Open Int",Vol/OI,IV,Delta,"Date On List"
GME,17.25,Call,21,2021-01-08,4,0.15,0.17,0.19,0.16,3063,1850,1.66,152.63%,N/A,2021-01-04
GME,17.25,Call,20,2021-01-08,4,0.26,0.28,0.3,0.26,7325,2948,2.48,147.75%,N/A,2021-01-04
GME,17.25,Call,18.5,2021-01-08,4,0.54,0.69,0.83,0.59,938,383,2.45,147.98%,N/A,2021-01-04
GME,17.25,Call,18,2021-01-08,4,0.65,0.69,0.72,0.7,1302,415,3.14,140.17%,N/A,2021-01-04
GME,17.37,Call,17,2021-01-22,17,1.89,2.36,2.84,2.17,506,214,2.36,133.83%,N/A,2021-01-05
GME,18.36,Call,19,2021-01-08,2,0.32,0.41,0.49,0.46,1787,278,6.43,133.40%,N/A,2021-01-06
GME,18.36,Call,18.5,2021-01-08,2,0.56,0.62,0.68,0.68,2183,1099,1.99,137.34%,N/A,2021-01-06
GME,18.36,Call,19.5,2021-01-08,2,0.18,0.28,0.37,0.34,942,156,6.04,139.75%,N/A,2021-01-06
GME,18.36,Call,40,2021-02-19,44,0.2,0.27,0.33,0.28,1268,198,6.4,137.91%,N/A,2021-01-06
GME,18.36,Call,18,2021-01-08,2,0.87,0.99,1.11,0.92,1697,1258,1.35,135.08%,N/A,2021-01-06
GME,18.08,Call,19.5,2021-01-08,1,0.13,0.15,0.17,0.15,2560,766,3.34,157.22%,N/A,2021-01-07
GME,18.08,Call,19,2021-01-08,1,0.19,0.22,0.25,0.26,2173,1046,2.08,158.43%,N/A,2021-01-07
GME,17.69,Call,24,2021-02-19,42,1.06,1.16,1.25,1.16,809,501,1.61,123.03%,N/A,2021-01-08
GME,17.69,Call,21.5,2021-01-15,7,0.41,0.44,0.47,0.48,890,283,3.14,164.16%,N/A,2021-01-08
GME,17.69,Call,17.5,2021-01-08,0,0.19,0.22,0.24,0.22,2531,704,3.6,0.00%,N/A,2021-01-08
GME,17.69,Call,18.5,2021-01-15,7,1.08,1.14,1.19,1.08,630,407,1.55,144.97%,N/A,2021-01-08
GME,19.94,Call,21,2021-01-15,4,0.94,0.99,1.04,0.9,5663,4208,1.35,159.72%,N/A,2021-01-11
GME,19.94,Call,24,2021-01-15,4,0.49,0.54,0.6,0.49,3053,2047,1.49,0.00%,N/A,2021-01-11
GME,19.94,Call,22.5,2021-01-15,4,0.63,0.72,0.8,0.68,1446,236,6.13,187.07%,N/A,2021-01-11
GME,19.94,Call,26,2021-01-15,4,0.26,0.3,0.33,0.29,1609,579,2.78,0.00%,N/A,2021-01-11
