Date,Open,High,Low,Close,Adj Close,Volume
2020-06-30,10.700000,11.350000,10.350000,10.600000,10.600000,8988300
2020-07-01,10.630000,10.910000,10.420000,10.640000,10.640000,7783500
2020-07-02,10.860000,11.450000,10.680000,10.810000,10.810000,8660600
2020-07-06,11.200000,11.330000,10.710000,10.760000,10.760000,9262200
2020-07-07,10.540000,10.770000,10.130000,10.240000,10.240000,12623600
2020-07-08,10.240000,10.670000,9.960000,10.410000,10.410000,20095800
2020-07-09,9.300000,9.310000,7.700000,7.860000,7.860000,66746000
2020-07-10,8.030000,8.450000,7.900000,8.200000,8.200000,22363100
2020-07-13,8.170000,8.360000,7.390000,7.730000,7.730000,23009200
2020-07-14,7.620000,8.590000,7.570000,8.390000,8.390000,17852700
2020-07-15,8.760000,9.040000,8.680000,8.880000,8.880000,16161100
2020-07-16,8.750000,9.690000,8.660000,9.470000,9.470000,13872500
2020-07-17,9.530000,9.550000,9.120000,9.220000,9.220000,7104200
2020-07-20,9.200000,9.200000,8.590000,8.890000,8.890000,8257200
2020-07-21,8.970000,9.530000,8.930000,9.430000,9.430000,9629000
2020-07-22,9.630000,10.040000,9.440000,10.000000,10.000000,12162600
2020-07-23,10.090000,10.540000,9.930000,10.160000,10.160000,11757800
2020-07-24,10.000000,10.310000,9.890000,10.140000,10.140000,5977800
2020-07-27,10.140000,10.610000,10.090000,10.530000,10.530000,8996000
2020-07-28,10.450000,10.810000,10.330000,10.350000,10.350000,7753800
2020-07-29,10.370000,10.850000,10.370000,10.850000,10.850000,5728000
2020-07-30,10.840000,11.540000,10.690000,10.960000,10.960000,14331000
2020-07-31,11.070000,11.140000,10.500000,10.820000,10.820000,8847500
2020-08-03,10.850000,11.200000,10.700000,11.050000,11.050000,6116100
2020-08-04,11.000000,11.440000,10.990000,11.430000,11.430000,4722800
2020-08-05,11.620000,11.810000,11.370000,11.770000,11.770000,5149900
2020-08-06,11.770000,12.120000,11.620000,12.000000,12.000000,5586000
2020-08-07,11.960000,12.210000,11.690000,12.110000,12.110000,9579000
2020-08-10,12.240000,12.890000,12.220000,12.660000,12.660000,8945700
2020-08-11,12.110000,12.820000,11.880000,11.930000,11.930000,11863300
2020-08-12,12.220000,12.290000,11.690000,12.120000,12.120000,5997700
2020-08-13,12.150000,12.470000,12.000000,12.340000,12.340000,4614000
2020-08-14,12.260000,12.490000,12.040000,12.350000,12.350000,3630800
2020-08-17,12.450000,12.950000,12.150000,12.870000,12.870000,6443200
2020-08-18,12.710000,12.800000,12.060000,12.200000,12.200000,6857600
2020-08-19,12.260000,12.660000,12.120000,12.200000,12.200000,5460300
2020-08-20,12.100000,12.100000,11.460000,11.470000,11.470000,7521300
2020-08-21,11.470000,11.750000,11.340000,11.670000,11.670000,5713800
