Date,Open,High,Low,Close,Adj Close,Volume
2021-06-28,551.000000,593.599976,543.299988,581.099976,581.099976,9931020
2021-06-29,590.599976,610.000000,561.799988,564.299988,564.299988,6360410
2021-06-30,560.000000,581.799988,546.500000,566.799988,566.799988,5902060
2021-07-01,568.599976,577.099976,525.299988,542.200012,542.200012,5754990
2021-07-02,527.700012,532.500000,477.700012,519.599976,519.599976,9027150
2021-07-06,534.599976,550.700012,497.000000,499.600006,499.600006,6237030
2021-07-07,477.000000,489.899994,428.000000,450.700012,450.700012,9532020
2021-07-08,409.500000,497.899994,387.600006,479.399994,479.399994,14507820
2021-07-09,483.700012,489.200012,458.200012,461.899994,461.899994,5785860
2021-07-12,442.899994,465.500000,420.700012,426.100006,426.100006,6298640
2021-07-13,405.700012,421.399994,387.000000,393.500000,393.500000,8680730
2021-07-14,388.000000,391.299988,332.399994,334.299988,334.299988,13783070
2021-07-15,322.000000,374.000000,321.399994,360.000000,360.000000,19958450
2021-07-16,378.299988,385.500000,343.000000,349.600006,349.600006,12682570
2021-07-19,329.500000,353.399994,311.500000,346.200012,346.200012,11289130
2021-07-20,351.399994,443.899994,351.299988,430.899994,430.899994,16867340
2021-07-21,418.000000,465.500000,401.100006,407.799988,407.799988,15802370
2021-07-22,401.600006,417.399994,371.500000,372.399994,372.399994,9398590
2021-07-23,377.799988,384.000000,346.899994,369.899994,369.899994,8547480
2021-07-26,383.200012,408.500000,375.700012,402.899994,402.899994,9797760
2021-07-27,399.899994,403.000000,370.600006,380.100006,380.100006,5528890
2021-07-28,374.100006,395.600006,360.799988,389.000000,389.000000,7102140
2021-07-29,380.000000,402.500000,374.700012,381.299988,381.299988,5944620
2021-07-30,375.399994,391.899994,367.899994,370.200012,370.200012,5299620
2021-08-02,375.799988,384.799988,350.100006,352.000000,352.000000,5906170
2021-08-03,351.600006,352.100006,327.799988,335.899994,335.899994,6174010
2021-08-04,344.299988,352.399994,298.100006,298.399994,298.399994,8549660
2021-08-05,310.799988,341.200012,289.100006,335.100006,335.100006,10856510
2021-08-06,334.200012,335.799988,315.700012,327.000000,327.000000,5285880
2021-08-09,326.799988,353.799988,323.500000,338.000000,338.000000,8105460
2021-08-10,369.000000,371.600006,314.399994,317.500000,317.500000,11618150
2021-08-11,315.799988,319.100006,294.000000,315.500000,315.500000,6968430
2021-08-12,309.100006,341.000000,307.500000,330.700012,330.700012,7105000
2021-08-13,322.000000,344.799988,318.799988,334.700012,334.700012,5799080
2021-08-16,338.500000,361.799988,327.100006,356.899994,356.899994,8650660
2021-08-17,349.899994,387.799988,345.899994,371.600006,371.600006,8686890
2021-08-18,373.200012,387.000000,364.899994,365.500000,365.500000,5794800
2021-08-19,365.899994,367.799988,333.299988,338.200012,338.200012,4792060
2021-08-20,339.000000,346.000000,322.000000,344.100006,344.100006,5543260
2021-08-23,350.299988,379.299988,344.000000,367.799988,367.799988,7531930
2021-08-24,371.899994,482.000000,363.500000,442.600006,442.600006,22848960
2021-08-25,449.000000,483.000000,431.700012,439.600006,439.600006,20927150
2021-08-26,427.899994,447.799988,400.700012,403.100006,403.100006,10971020
2021-08-27,400.100006,415.799988,393.899994,408.399994,408.399994,7250740
2021-08-30,417.799988,457.100006,412.799988,433.299988,433.299988,10837090
2021-08-31,441.600006,471.600006,440.500000,471.299988,471.299988,12765960
2021-09-01,471.600006,478.500000,430.500000,436.899994,436.899994,8277240
2021-09-02,438.700012,449.000000,423.700012,443.799988,443.799988,6784880
2021-09-03,435.399994,448.000000,424.700012,440.200012,440.200012,5210950
2021-09-07,450.000000,479.299988,448.799988,478.299988,478.299988,10213370
2021-09-08,470.299988,494.000000,457.299988,474.000000,474.000000,9737290
2021-09-09,462.299988,490.000000,453.600006,485.200012,485.200012,8596090
2021-09-10,491.500000,517.000000,489.500000,501.600006,501.600006,9015270
2021-09-13,518.200012,527.900024,503.500000,516.900024,516.900024,7511100
2021-09-14,509.000000,515.500000,469.600006,473.000000,473.000000,6585030
2021-09-15,464.299988,477.399994,437.700012,468.399994,468.399994,7621420
2021-09-16,464.799988,486.899994,459.500000,460.399994,460.399994,5758190
2021-09-17,461.000000,463.799988,442.000000,442.000000,442.000000,6854900
2021-09-20,419.500000,433.299988,385.299988,402.899994,402.899994,7080760
2021-09-21,409.700012,414.899994,376.500000,388.200012,388.200012,6469630
2021-09-22,385.000000,405.700012,377.399994,400.799988,400.799988,5244130
2021-09-23,410.600006,418.500000,398.500000,399.799988,399.799988,4127110
2021-09-24,398.100006,405.200012,392.500000,400.100006,400.100006,3255590
2021-09-27,401.200012,406.299988,392.100006,393.000000,393.000000,3122550
2021-09-28,389.000000,391.299988,368.799988,369.899994,369.899994,3952330
2021-09-29,372.500000,382.600006,353.700012,355.399994,355.399994,4300780
2021-09-30,351.899994,417.799988,337.399994,380.600006,380.600006,10281980
2021-10-01,394.100006,401.299988,377.500000,384.600006,384.600006,6591900
2021-10-04,389.000000,390.299988,363.299988,367.700012,367.700012,3994320
2021-10-05,368.600006,381.000000,361.899994,370.600006,370.600006,3770280
2021-10-06,363.600006,376.500000,356.399994,368.299988,368.299988,3545050
2021-10-07,367.799988,385.500000,366.000000,381.399994,381.399994,3770430
2021-10-08,379.200012,387.799988,370.600006,371.899994,371.899994,2964310
2021-10-11,368.500000,386.600006,363.000000,372.500000,372.500000,3735140
2021-10-12,372.500000,375.700012,362.200012,368.200012,368.200012,2522340
2021-10-13,367.200012,381.500000,361.200012,379.100006,379.100006,3348450
2021-10-14,378.000000,411.000000,377.500000,400.700012,400.700012,6768820
2021-10-15,402.000000,417.899994,397.799988,407.399994,407.399994,4652470
2021-10-18,408.000000,436.299988,404.899994,430.299988,430.299988,5009630
2021-10-19,429.600006,444.399994,407.399994,408.000000,408.000000,5276920
2021-10-20,406.500000,417.500000,403.000000,408.799988,408.799988,3122000
2021-10-21,408.899994,419.399994,388.000000,392.399994,392.399994,3397760
2021-10-22,373.100006,376.700012,359.600006,366.000000,366.000000,4632420
2021-10-25,362.299988,378.500000,357.799988,368.299988,368.299988,3090540
2021-10-26,365.299988,374.000000,357.799988,360.500000,360.500000,2767480
2021-10-27,363.299988,367.899994,345.799988,347.600006,347.600006,2590410
2021-10-28,350.899994,360.700012,348.600006,352.299988,352.299988,2381220
2021-10-29,353.399994,366.299988,345.299988,353.700012,353.700012,3284150
2021-11-01,356.500000,371.899994,353.899994,370.700012,370.700012,3405460
2021-11-02,376.200012,388.000000,366.299988,387.899994,387.899994,4436170
2021-11-03,409.899994,442.100006,388.799988,407.899994,407.899994,8219800
2021-11-04,403.899994,413.000000,391.100006,400.500000,400.500000,2855370
2021-11-05,411.600006,419.700012,399.299988,417.000000,417.000000,4007700
2021-11-08,424.799988,459.500000,417.700012,450.600006,450.600006,7034780
2021-11-09,424.299988,426.000000,392.500000,399.299988,399.299988,3789350
2021-11-10,387.899994,408.700012,380.500000,382.899994,382.899994,3246360
2021-11-11,380.000000,402.000000,375.000000,394.600006,394.600006,3047410
2021-11-12,396.000000,404.399994,391.200012,400.000000,400.000000,2362310
2021-11-15,403.500000,432.299988,402.100006,426.799988,426.799988,3991880
2021-11-16,419.700012,444.299988,412.299988,426.000000,426.000000,3838820
2021-11-17,423.399994,440.000000,420.200012,421.299988,421.299988,2332200
2021-11-18,423.899994,424.000000,397.799988,404.100006,404.100006,2526200
2021-11-19,402.000000,413.799988,396.600006,408.700012,408.700012,2069230
2021-11-22,415.100006,429.899994,402.899994,412.399994,412.399994,2883180
2021-11-23,412.500000,420.299988,380.700012,391.600006,391.600006,2738650
2021-11-24,391.399994,393.299988,375.500000,388.899994,388.899994,1827080
2021-11-26,362.899994,381.600006,361.299988,376.299988,376.299988,1973180
2021-11-29,382.600006,384.299988,359.200012,368.399994,368.399994,2406380
2021-11-30,367.700012,370.500000,327.500000,339.399994,339.399994,4135480
2021-12-01,347.100006,349.399994,268.500000,285.700012,285.700012,6329610
2021-12-02,292.700012,312.200012,270.100006,302.799988,302.799988,5490130
2021-12-03,308.299988,310.600006,253.100006,290.100006,290.100006,6618860
2021-12-06,281.000000,304.700012,271.500000,287.899994,287.899994,4506740
2021-12-07,300.299988,316.799988,295.000000,310.399994,310.399994,4792710
2021-12-08,307.799988,339.200012,297.700012,323.500000,323.500000,4624150
2021-12-09,317.500000,329.500000,293.100006,294.600006,294.600006,3655680
2021-12-10,293.500000,299.299988,260.000000,274.399994,274.399994,5885890
2021-12-13,274.899994,276.299988,224.600006,232.399994,232.399994,8419980
2021-12-14,209.100006,251.199997,208.000000,245.000000,245.000000,10704580
2021-12-15,246.000000,252.800003,225.300003,246.600006,246.600006,5320820
2021-12-16,253.500000,258.700012,240.800003,244.500000,244.500000,4370240
2021-12-17,243.899994,307.100006,236.500000,291.200012,291.200012,14475310
2021-12-20,289.600006,307.000000,281.100006,297.000000,297.000000,6693820
2021-12-21,294.000000,322.299988,290.500000,303.000000,303.000000,4685250
2021-12-22,299.399994,304.799988,280.399994,286.799988,286.799988,3698380
2021-12-23,288.600006,294.299988,268.200012,285.200012,285.200012,3700590
2021-12-27,283.500000,293.899994,270.100006,287.000000,287.000000,3078560
2021-12-28,281.799988,297.399994,275.899994,277.200012,277.200012,3158810
2021-12-29,277.500000,283.500000,266.200012,279.500000,279.500000,3098340
2021-12-30,279.100006,301.899994,276.799988,289.399994,289.399994,3605640
2021-12-31,287.600006,294.000000,271.100006,272.000000,272.000000,2340800
2022-01-03,274.200012,281.299988,264.200012,265.200012,265.200012,2674090
2022-01-04,266.700012,266.700012,246.399994,254.899994,254.899994,3334790
2022-01-05,251.699997,253.000000,223.600006,227.500000,227.500000,4517210
2022-01-06,229.600006,237.699997,208.000000,224.600006,224.600006,5911270
2022-01-07,236.100006,243.000000,224.399994,229.899994,229.899994,4948100
2022-01-10,224.199997,228.699997,212.500000,227.800003,227.800003,3778400
2022-01-11,224.000000,237.500000,220.899994,227.899994,227.899994,3606380
2022-01-12,228.600006,233.600006,220.500000,227.199997,227.199997,2747210
2022-01-13,226.500000,231.500000,205.300003,206.600006,206.600006,4100500
2022-01-14,203.300003,210.800003,195.100006,205.699997,205.699997,5699660
2022-01-18,197.899994,198.899994,178.000000,188.399994,188.399994,5567970
2022-01-19,185.300003,194.199997,180.300003,183.199997,183.199997,3509680
2022-01-20,185.899994,201.600006,179.500000,180.699997,180.699997,5107870
2022-01-21,177.699997,185.600006,162.199997,179.699997,179.699997,6518570
2022-01-24,162.399994,172.899994,142.300003,166.399994,166.399994,8242470
2022-01-25,158.899994,166.199997,155.500000,160.199997,160.199997,4243460
2022-01-26,162.100006,181.600006,156.500000,159.399994,159.399994,7672290
2022-01-27,161.100006,165.899994,144.000000,145.199997,145.199997,5053020
2022-01-28,146.000000,152.500000,134.000000,150.600006,150.600006,5395160
2022-01-31,151.399994,162.500000,150.000000,160.600006,160.600006,4144790
2022-02-01,181.500000,187.100006,165.199997,168.600006,168.600006,12442770
2022-02-02,165.500000,170.699997,153.800003,154.199997,154.199997,4862600
2022-02-03,150.399994,158.500000,146.500000,148.699997,148.699997,3921510
2022-02-04,150.000000,157.000000,147.399994,153.500000,153.500000,3239650
2022-02-07,156.199997,160.000000,146.800003,149.100006,149.100006,2975520
2022-02-08,149.000000,168.199997,146.500000,164.300003,164.300003,5127250
2022-02-09,163.000000,190.000000,161.399994,189.399994,189.399994,7586740
2022-02-10,179.000000,209.600006,178.500000,185.899994,185.899994,9895740
2022-02-11,186.199997,196.600006,183.300003,188.100006,188.100006,6842590
2022-02-14,188.300003,193.600006,176.600006,177.500000,177.500000,4610670
2022-02-15,180.500000,195.500000,179.600006,194.800003,194.800003,3985200
2022-02-16,193.500000,205.800003,192.600006,196.699997,196.699997,4944460
2022-02-17,194.800003,202.100006,184.699997,189.399994,189.399994,4013020
2022-02-18,189.899994,192.000000,176.800003,179.000000,179.000000,3195350
2022-02-22,173.600006,181.300003,161.100006,164.699997,164.699997,4296850
2022-02-23,167.300003,170.199997,156.199997,157.300003,157.300003,3015590
2022-02-24,149.699997,177.699997,149.600006,176.800003,176.800003,5440570
2022-02-25,177.100006,178.600006,165.300003,176.600006,176.600006,3694410
2022-02-28,180.000000,193.399994,176.100006,188.600006,188.600006,4277230
2022-03-01,190.000000,194.300003,178.300003,183.199997,183.199997,4400300
