Date,Open,High,Low,Close,Adj Close,Volume
2021-08-20,440.230011,443.709991,439.709991,443.359985,428.609039,72008700
2021-08-23,445.160004,448.230011,443.440002,447.260010,432.379333,54973000
2021-08-24,447.970001,448.540009,447.420013,447.970001,433.065704,38744700
2021-08-25,448.170013,449.459991,447.769989,448.910004,433.974426,40529700
2021-08-26,448.609985,448.859985,446.160004,446.260010,431.412567,57829600
2021-08-27,447.119995,450.649994,447.059998,450.250000,435.269836,77235100
2021-08-30,450.970001,453.070007,450.709991,452.230011,437.183929,48357400
2021-08-31,452.130005,452.489990,450.920013,451.559998,436.536255,59300200
2021-09-01,452.559998,453.109985,451.549988,451.799988,436.768219,48721400
2021-09-02,453.320007,454.049988,451.910004,453.190002,438.112030,42501000
2021-09-03,451.980011,453.630005,451.549988,453.079987,438.005615,47170500
2021-09-07,452.709991,452.809998,450.739990,451.459991,436.439575,51671500
2021-09-08,450.890015,451.670013,448.859985,450.910004,435.907867,56181900
2021-09-09,450.700012,452.570007,448.720001,448.980011,434.042114,57970400
2021-09-10,451.040009,451.489990,445.309998,445.440002,430.619904,89948200
2021-09-13,448.640015,448.920013,444.109985,446.579987,431.721863,83738600
2021-09-14,448.119995,448.339996,443.220001,444.170013,429.392151,78197100
2021-09-15,444.619995,448.410004,443.440002,447.880005,432.978699,78792200
2021-09-16,447.320007,448.359985,444.019989,447.170013,432.292328,77786700
2021-09-17,444.920013,445.369995,441.019989,441.399994,428.081329,118425000
2021-09-20,434.880005,436.559998,428.859985,434.040009,420.943420,166445500
2021-09-21,436.529999,437.910004,433.070007,433.630005,420.545776,92526100
2021-09-22,436.049988,440.029999,433.750000,437.859985,424.648071,102350100
2021-09-23,439.850006,444.890015,439.600006,443.179993,429.807617,76396000
2021-09-24,441.440002,444.670013,441.209991,443.910004,430.515594,62094800
2021-09-27,442.809998,444.049988,441.899994,442.640015,429.283905,61371100
2021-09-28,439.690002,440.040009,432.940002,433.720001,420.633057,130436300
2021-09-29,435.190002,437.040009,433.850006,434.450012,421.341003,82329200
2021-09-30,436.019989,436.769989,428.779999,429.140015,416.191284,140506000
2021-10-01,430.980011,436.029999,427.230011,434.239990,421.137360,129240100
2021-10-04,433.000000,433.959991,426.359985,428.640015,415.706329,128570000
2021-10-05,430.239990,435.489990,429.390015,433.100006,420.031769,90682500
2021-10-06,429.269989,435.119995,427.540009,434.899994,421.777466,113032200
2021-10-07,438.390015,441.679993,438.200012,438.660004,425.424011,72437500
2021-10-08,439.480011,439.890015,437.190002,437.859985,424.648071,74557400
2021-10-11,437.160004,440.260010,434.619995,434.690002,421.573792,65233300
2021-10-12,435.670013,436.100006,432.779999,433.619995,420.536072,71181200
2021-10-13,434.709991,436.049988,431.540009,435.179993,422.049011,72974000
2021-10-14,439.079987,442.660004,438.579987,442.500000,429.148132,70236800
2021-10-15,444.750000,446.260010,444.089996,445.869995,432.416473,66260200
2021-10-18,443.970001,447.549988,443.269989,447.190002,433.696594,62213200
